Data,NAV
28/12/2020,29.9746 
24/12/2020,29.8506 
23/12/2020,29.7560 
22/12/2020,29.7053 
21/12/2020,29.6332 
18/12/2020,29.8037 
17/12/2020,29.8731 
16/12/2020,29.7858 
15/12/2020,29.7447 
14/12/2020,29.5406 
11/12/2020,29.6057 
10/12/2020,29.6304 
09/12/2020,29.7339 
08/12/2020,29.8193 
07/12/2020,29.7007 
04/12/2020,29.7236 
03/12/2020,29.4712 
02/12/2020,29.5854 
01/12/2020,29.6398 
30/11/2020,29.5186 
27/11/2020,29.7552 
26/11/2020,29.7404 
25/11/2020,29.7374 
24/11/2020,29.7785 
23/11/2020,29.4478 
20/11/2020,29.2788 
19/11/2020,29.3856 
18/11/2020,29.2590 
17/11/2020,29.4347 
16/11/2020,29.5656 
13/11/2020,29.2345 
12/11/2020,29.0219 
11/11/2020,29.3701 
10/11/2020,28.9703 
09/11/2020,28.8944 
06/11/2020,28.3982 
05/11/2020,28.4757 
04/11/2020,28.1770 
03/11/2020,27.5734 
02/11/2020,27.2428 
30/10/2020,26.8726 
29/10/2020,27.1480 
28/10/2020,26.7917 
27/10/2020,27.4705 
26/10/2020,27.6064 
23/10/2020,28.0312 
22/10/2020,27.9399 
21/10/2020,27.7916 
20/10/2020,27.9499 
19/10/2020,28.0032 
16/10/2020,28.4162 
15/10/2020,28.4173 
14/10/2020,28.4774 
13/10/2020,28.6367 
12/10/2020,28.6306 
09/10/2020,28.2773 
08/10/2020,28.1985 
07/10/2020,27.9540 
06/10/2020,27.5729 
05/10/2020,27.8118 
02/10/2020,27.5172 
01/10/2020,27.6728 
30/09/2020,27.5430 
29/09/2020,27.4428 
28/09/2020,27.7068 
25/09/2020,27.3011 
24/09/2020,26.9404 
23/09/2020,26.9237 
22/09/2020,27.2884 
21/09/2020,27.0558 
18/09/2020,27.2168 
17/09/2020,27.5171 
16/09/2020,27.6980 
15/09/2020,27.6973 
14/09/2020,27.5133 
11/09/2020,27.2795 
10/09/2020,27.1844 
09/09/2020,27.6249 
08/09/2020,27.2081 
07/09/2020,27.7464 
04/09/2020,27.7163 
03/09/2020,27.9245 
02/09/2020,28.6986 
01/09/2020,28.0964 
31/08/2020,27.9723 
28/08/2020,28.1274 
27/08/2020,28.2222 
26/08/2020,28.1911 
25/08/2020,27.9130 
24/08/2020,27.8678 
21/08/2020,27.6571 
20/08/2020,27.4777 
19/08/2020,27.4005 
18/08/2020,27.4077 
17/08/2020,27.4658 
14/08/2020,27.4425 
13/08/2020,27.4891 
12/08/2020,27.5781 
11/08/2020,27.2941 
10/08/2020,27.3074 
07/08/2020,27.1985 
06/08/2020,27.1168 
05/08/2020,26.9768 
04/08/2020,27.0470 
03/08/2020,26.9370 
31/07/2020,26.5220 
30/07/2020,26.5907 
29/07/2020,26.8011 
28/07/2020,26.6772 
27/07/2020,26.7012 
24/07/2020,26.8182 
23/07/2020,27.0933 
22/07/2020,27.3136 
21/07/2020,27.4897 
20/07/2020,27.5027 
17/07/2020,27.3159 
16/07/2020,27.2344 
15/07/2020,27.3862 
14/07/2020,27.0977 
13/07/2020,26.9641 
10/07/2020,27.1531 
09/07/2020,26.9855 
08/07/2020,27.0429 
07/07/2020,27.0424 
06/07/2020,27.2182 
03/07/2020,26.9279 
02/07/2020,26.9894 
01/07/2020,26.6966 
30/06/2020,26.6506 
29/06/2020,26.3093 
26/06/2020,26.1723 
25/06/2020,26.5834 
24/06/2020,26.2766 
23/06/2020,26.8125 
22/06/2020,26.7942 
19/06/2020,26.8399 
18/06/2020,26.8311 
17/06/2020,26.8505 
16/06/2020,26.8269 
15/06/2020,26.1653 
12/06/2020,26.1456 
11/06/2020,25.7145 
10/06/2020,27.1288 
09/06/2020,27.2175 
08/06/2020,27.4983 
05/06/2020,27.2115 
04/06/2020,26.5600 
03/06/2020,26.9004 
02/06/2020,26.5720 
01/06/2020,26.3833 
29/05/2020,26.2176 
28/05/2020,26.3824 
27/05/2020,26.4365 
26/05/2020,26.1288 
25/05/2020,25.9425 
22/05/2020,25.8259 
21/05/2020,25.7297 
20/05/2020,25.8299 
19/05/2020,25.5538 
18/05/2020,25.8562 
15/05/2020,25.1852 
14/05/2020,25.0857 
13/05/2020,25.0054 
12/05/2020,25.3669 
11/05/2020,25.8123 
08/05/2020,25.7172 
07/05/2020,25.4923 
06/05/2020,25.2022 
05/05/2020,25.2341 
04/05/2020,24.8026 
01/05/2020,24.6800 
30/04/2020,25.3988 
29/04/2020,25.8553 
28/04/2020,25.3106 
27/04/2020,25.2778 
24/04/2020,24.9035 
23/04/2020,24.7001 
22/04/2020,24.6228 
21/04/2020,24.1081 
20/04/2020,24.8179 
17/04/2020,25.0942 
16/04/2020,24.5211 
15/04/2020,24.3438 
14/04/2020,24.7778 
13/04/2020,24.3099 
09/04/2020,24.3971 
08/04/2020,24.1803 
07/04/2020,23.5768 
06/04/2020,23.6214 
03/04/2020,22.2785 
02/04/2020,22.4675 
01/04/2020,22.0695 
31/03/2020,22.8571 
30/03/2020,22.9557 
27/03/2020,22.3429 
26/03/2020,23.0147 
25/03/2020,22.2892 
24/03/2020,21.8226 
23/03/2020,20.1282 
20/03/2020,20.8771 
19/03/2020,21.4013 
18/03/2020,20.9875 
17/03/2020,21.8303 
16/03/2020,20.6596 
13/03/2020,22.9643 
12/03/2020,21.6587 
11/03/2020,23.6214 
10/03/2020,24.4423 
09/03/2020,23.6017 
06/03/2020,25.6769 
05/03/2020,26.4618 
04/03/2020,27.1956 
03/03/2020,26.3359 
02/03/2020,26.8406 
28/02/2020,26.3080 
27/02/2020,26.7481 
26/02/2020,28.0477 
25/02/2020,28.1852 
24/02/2020,28.9674 
21/02/2020,29.8714 
20/02/2020,30.2222 
19/02/2020,30.3855 
18/02/2020,30.1799 
17/02/2020,30.2730 
14/02/2020,30.2398 
13/02/2020,30.2082 
12/02/2020,30.1318 
11/02/2020,29.9098 
10/02/2020,29.7844 
07/02/2020,29.5707 
06/02/2020,29.6771 
05/02/2020,29.4647 
04/02/2020,29.1026 
03/02/2020,28.6642 
31/01/2020,28.4924 
30/01/2020,28.9748 
29/01/2020,29.0866 
28/01/2020,29.0691 
27/01/2020,28.8356 
24/01/2020,29.2836 
23/01/2020,29.3608 
22/01/2020,29.3305 
21/01/2020,29.2596 
20/01/2020,29.3702 
17/01/2020,29.3391 
16/01/2020,29.1208 
15/01/2020,28.9057 
14/01/2020,28.9432 
13/01/2020,28.9032 
10/01/2020,28.8310 
09/01/2020,28.8839 
08/01/2020,28.6827 
07/01/2020,28.5714 
06/01/2020,28.4697 
03/01/2020,28.5173 
02/01/2020,28.5792 
31/12/2019,28.3069 
30/12/2019,28.2974 
27/12/2019,28.5373 
26/12/2019,28.6430 
24/12/2019,28.5624 
23/12/2019,28.5528 
20/12/2019,28.5494 
19/12/2019,28.3561 
18/12/2019,28.2411 
17/12/2019,28.2076 
16/12/2019,28.2606 
13/12/2019,28.0486 
12/12/2019,27.9686 
11/12/2019,27.8730 
10/12/2019,27.7994 
09/12/2019,27.8828 
06/12/2019,27.9803 
05/12/2019,27.6538 
04/12/2019,27.6248 
03/12/2019,27.4737 
02/12/2019,27.6630 
29/11/2019,27.9716 
28/11/2019,28.1341 
27/11/2019,28.1610 
26/11/2019,28.0252 
25/11/2019,27.9809 
22/11/2019,27.7207 
21/11/2019,27.5716 
20/11/2019,27.6498 
19/11/2019,27.7340 
18/11/2019,27.7409 
15/11/2019,27.7763 
14/11/2019,27.6880 
13/11/2019,27.7108 
12/11/2019,27.7098 
11/11/2019,27.6080 
08/11/2019,27.6701 
07/11/2019,27.5836 
06/11/2019,27.4377 
05/11/2019,27.4100 
04/11/2019,27.2507 
01/11/2019,27.0900 
31/10/2019,26.8976 
30/10/2019,27.0216 
29/10/2019,26.9869 
28/10/2019,27.0221 
25/10/2019,26.9209 
24/10/2019,26.8018 
23/10/2019,26.6851 
22/10/2019,26.5999 
21/10/2019,26.6235 
18/10/2019,26.4708 
17/10/2019,26.6069 
16/10/2019,26.6838 
15/10/2019,26.7432 
14/10/2019,26.4985 
11/10/2019,26.5238 
10/10/2019,26.2206 
09/10/2019,26.1442 
08/10/2019,26.0315 
07/10/2019,26.2781 
04/10/2019,26.3398 
03/10/2019,26.0535 
02/10/2019,26.0207 
01/10/2019,26.5434 
30/09/2019,26.8456 
27/09/2019,26.6761 
26/09/2019,26.7683 
25/09/2019,26.7376 
24/09/2019,26.6154 
23/09/2019,26.7601 
20/09/2019,26.7670 
19/09/2019,26.7440 
18/09/2019,26.6919 
17/09/2019,26.7246 
16/09/2019,26.7791 
13/09/2019,26.6896 
12/09/2019,26.7670 
11/09/2019,26.7565 
10/09/2019,26.4665 
09/09/2019,26.4153 
06/09/2019,26.4433 
05/09/2019,26.3928 
04/09/2019,26.1248 
03/09/2019,26.0041 
02/09/2019,26.1083 
30/08/2019,26.0249 
29/08/2019,25.8307 
28/08/2019,25.5510 
27/08/2019,25.4051 
26/08/2019,25.3808 
23/08/2019,25.2665 
22/08/2019,25.7725 
21/08/2019,25.8019 
20/08/2019,25.6058 
19/08/2019,25.7346 
16/08/2019,25.4340 
15/08/2019,25.1131 
14/08/2019,25.0535 
13/08/2019,25.5381 
12/08/2019,25.2684 
09/08/2019,25.5176 
08/08/2019,25.6559 
07/08/2019,25.2187 
06/08/2019,25.2259 
05/08/2019,25.0867 
02/08/2019,25.9086 
01/08/2019,26.2910 
31/07/2019,26.2843 
30/07/2019,26.4603 
29/07/2019,26.5872 
26/07/2019,26.6376 
25/07/2019,26.4557 
24/07/2019,26.6219 
23/07/2019,26.5065 
22/07/2019,26.1935 
19/07/2019,26.1574 
18/07/2019,26.2104 
17/07/2019,26.1847 
16/07/2019,26.3135 
15/07/2019,26.2972 
12/07/2019,26.2995 
11/07/2019,26.2081 
10/07/2019,26.1655 
09/07/2019,26.1796 
08/07/2019,26.1665 
05/07/2019,26.2809 
04/07/2019,26.2545 
03/07/2019,26.2348 
02/07/2019,26.0254 
01/07/2019,25.8828 
28/06/2019,25.5751 
27/06/2019,25.4788 
26/06/2019,25.3606 
25/06/2019,25.4065 
24/06/2019,25.5600 
21/06/2019,25.7149 
20/06/2019,25.8428 
19/06/2019,25.7557 
18/06/2019,25.6944 
17/06/2019,25.3615 
14/06/2019,25.3675 
13/06/2019,25.3306 
12/06/2019,25.1888 
11/06/2019,25.2652 
10/06/2019,25.2128 
07/06/2019,25.0610 
06/06/2019,24.9129 
05/06/2019,24.8553 
04/06/2019,24.7017 
03/06/2019,24.3815 
31/05/2019,24.5217 
30/05/2019,24.7994 
29/05/2019,24.7405 
28/05/2019,24.9040 
27/05/2019,25.0059 
24/05/2019,24.9609 
23/05/2019,24.9880 
22/05/2019,25.2656 
21/05/2019,25.2726 
20/05/2019,25.1504 
17/05/2019,25.3119 
16/05/2019,25.3633 
15/05/2019,25.1187 
14/05/2019,24.9498 
13/05/2019,24.7317 
10/05/2019,25.2001 
09/05/2019,25.1596 
08/05/2019,25.3598 
07/05/2019,25.4327 
06/05/2019,25.7853 
03/05/2019,25.9139 
02/05/2019,25.7379 
01/05/2019,25.7069 
30/04/2019,25.8707 
29/04/2019,25.9262 
26/04/2019,25.9247 
25/04/2019,25.8645 
24/04/2019,25.7669 
23/04/2019,25.8063 
22/04/2019,25.5571 
18/04/2019,25.5676 
17/04/2019,25.4266 
16/04/2019,25.4562 
15/04/2019,25.4109 
12/04/2019,25.3766 
11/04/2019,25.3279 
10/04/2019,25.3950 
09/04/2019,25.2866 
08/04/2019,25.4227 
05/04/2019,25.4734 
04/04/2019,25.4022 
03/04/2019,25.3548 
02/04/2019,25.3084 
01/04/2019,25.2402 
29/03/2019,24.9536 
28/03/2019,24.7707 
27/03/2019,24.7156 
26/03/2019,24.7339 
25/03/2019,24.4747 
22/03/2019,24.6368 
21/03/2019,24.8540 
20/03/2019,24.6844 
19/03/2019,24.7933 
18/03/2019,24.7975 
15/03/2019,24.7145 
14/03/2019,24.5995 
13/03/2019,24.5900 
12/03/2019,24.5062 
11/03/2019,24.5272 
08/03/2019,24.2121 
07/03/2019,24.3388 
06/03/2019,24.3587 
05/03/2019,24.4724 
04/03/2019,24.4721 
01/03/2019,24.4115 
28/02/2019,24.2743 
27/02/2019,24.3506 
26/02/2019,24.4095 
25/02/2019,24.4178 
22/02/2019,24.3916 
21/02/2019,24.2471 
20/02/2019,24.3263 
19/02/2019,24.2503 
18/02/2019,24.2725 
15/02/2019,24.3073 
14/02/2019,24.0581 
13/02/2019,24.0700 
12/02/2019,23.9670 
11/02/2019,23.7398 
08/02/2019,23.6046 
07/02/2019,23.6179 
06/02/2019,23.8189 
05/02/2019,23.8014 
04/02/2019,23.6057 
01/02/2019,23.4300 
31/01/2019,23.4032 
30/01/2019,23.2823 
29/01/2019,23.0539 
28/01/2019,23.0220 
25/01/2019,23.2450 
24/01/2019,23.1149 
23/01/2019,23.0306 
22/01/2019,23.0605 
21/01/2019,23.2855 
18/01/2019,23.2813 
17/01/2019,22.9619 
16/01/2019,22.8383 
15/01/2019,22.7154 
14/01/2019,22.4812 
11/01/2019,22.5644 
10/01/2019,22.4842 
09/01/2019,22.4251 
08/01/2019,22.3822 
07/01/2019,22.1456 
04/01/2019,22.0790 
03/01/2019,21.5091 
02/01/2019,21.9153 
31/12/2018,21.7901 
28/12/2018,21.6435 
27/12/2018,21.6034 
26/12/2018,21.4470 
24/12/2018,20.8794 
21/12/2018,21.2589 
20/12/2018,21.5643 
19/12/2018,21.8973 
18/12/2018,22.2028 
17/12/2018,22.3122 
14/12/2018,22.7181 
13/12/2018,22.9876 
12/12/2018,22.9653 
11/12/2018,22.8028 
10/12/2018,22.6761 
07/12/2018,22.7924 
06/12/2018,23.1036 
05/12/2018,23.3947 
04/12/2018,23.4677 
03/12/2018,24.0649 
30/11/2018,23.8254 
29/11/2018,23.6015 
28/11/2018,23.7696 
27/11/2018,23.4074 
26/11/2018,23.2922 
23/11/2018,23.0017 
22/11/2018,22.9666 
21/11/2018,22.9974 
20/11/2018,22.8842 
19/11/2018,23.1633 
16/11/2018,23.5385 
15/11/2018,23.6452 
14/11/2018,23.5316 
13/11/2018,23.7062 
12/11/2018,23.7909 
09/11/2018,23.9902 
08/11/2018,24.0580 
07/11/2018,23.9796 
06/11/2018,23.6879 
05/11/2018,23.6199 
02/11/2018,23.6046 
01/11/2018,23.6287 
31/10/2018,23.5311 
30/10/2018,23.1750 
29/10/2018,22.8863 
26/10/2018,22.9965 
25/10/2018,23.2452 
24/10/2018,23.0094 
23/10/2018,23.4177 
22/10/2018,23.6195 
19/10/2018,23.6677 
18/10/2018,23.6901 
17/10/2018,23.8943 
16/10/2018,23.8222 
15/10/2018,23.3840 
12/10/2018,23.5300 
11/10/2018,23.3373 
10/10/2018,23.8945 
09/10/2018,24.5932 
08/10/2018,24.6273 
05/10/2018,24.6359 
04/10/2018,24.7883 
03/10/2018,24.9411 
02/10/2018,24.9032 
01/10/2018,24.9078 
28/09/2018,24.7804 
27/09/2018,24.7018 
26/09/2018,24.5711 
25/09/2018,24.5205 
24/09/2018,24.5105 
21/09/2018,24.6489 
20/09/2018,24.6190 
19/09/2018,24.5734 
18/09/2018,24.4483 
17/09/2018,24.3509 
14/09/2018,24.4526 
13/09/2018,24.4048 
12/09/2018,24.3918 
11/09/2018,24.4028 
10/09/2018,24.3206 
07/09/2018,24.2917 
06/09/2018,24.2780 
05/09/2018,24.3686 
04/09/2018,24.6304 
03/09/2018,24.6016 
31/08/2018,24.6046 
30/08/2018,24.6389 
29/08/2018,24.6521 
28/08/2018,24.5296 
27/08/2018,24.5908 
24/08/2018,24.4583 
23/08/2018,24.4425 
22/08/2018,24.4535 
21/08/2018,24.5883 
20/08/2018,24.6976 
17/08/2018,24.6503 
16/08/2018,24.6057 
15/08/2018,24.6065 
14/08/2018,24.7086 
13/08/2018,24.4992 
10/08/2018,24.6210 
09/08/2018,24.5917 
08/08/2018,24.5286 
07/08/2018,24.5752 
06/08/2018,24.5246 
03/08/2018,24.4337 
02/08/2018,24.3122 
01/08/2018,24.1905 
31/07/2018,24.1745 
30/07/2018,24.1112 
27/07/2018,24.3206 
26/07/2018,24.3719 
25/07/2018,24.3390 
24/07/2018,24.1528 
23/07/2018,24.0236 
20/07/2018,23.9997 
19/07/2018,24.1466 
18/07/2018,24.1817 
17/07/2018,24.0520 
16/07/2018,23.9410 
13/07/2018,24.0436 
12/07/2018,23.9668 
11/07/2018,23.7393 
10/07/2018,23.9491 
09/07/2018,23.8027 
06/07/2018,23.6238 
05/07/2018,23.5359 
04/07/2018,23.4814 
03/07/2018,23.4677 
02/07/2018,23.5543 
29/06/2018,23.4969 
28/06/2018,23.5977 
27/06/2018,23.5064 
26/06/2018,23.5135 
25/06/2018,23.4408 
22/06/2018,23.8695 
21/06/2018,23.8302 
20/06/2018,24.0061 
19/06/2018,23.9644 
18/06/2018,24.0243 
15/06/2018,24.1258 
14/06/2018,24.1299 
13/06/2018,23.8676 
12/06/2018,23.8841 
11/06/2018,23.8295 
08/06/2018,23.8527 
07/06/2018,23.7171 
06/06/2018,23.8060 
05/06/2018,23.8385 
04/06/2018,23.8076 
01/06/2018,23.7357 
31/05/2018,23.5154 
