Data,NAV_1,NAV_2,N_SHARES_1,N_SHARES_2,AVERAGE_PRICE_1,AVERAGE_PRICE_2,TOTAL_PORTFOLIO,TAX_PAID
2018-09-26,107.934,24.5711,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4940.658948666769,0.0
2018-09-27,107.9601,24.7018,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4966.044469621289,0.0
2018-09-28,107.9325,24.7804,1.6333352729420838,193.90123109331847,109.50816514995273,23.41117276009813,4981.240026331691,0.0
2018-10-01,107.7997,24.9078,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5005.7261362487325,113.3533074025765
2018-10-02,107.9215,24.9032,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5336.983575269727,0.0
2018-10-03,107.6255,24.9411,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5313.860065117908,0.0
2018-10-04,107.3181,24.7883,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5305.199496667107,0.0
2018-10-05,107.1227,24.6359,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5304.11059895869,0.0
2018-10-08,106.9404,24.6273,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5292.421470161706,0.0
2018-10-09,107.1849,24.5932,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5311.745048951857,0.0
2018-10-10,107.1521,23.8945,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5365.344228021767,0.0
2018-10-11,107.1317,23.3373,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5408.479422740835,0.0
2018-10-12,107.1038,23.53,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5391.188621855098,0.0
2018-10-15,107.1381,23.384,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5405.182597509194,0.0
2018-10-16,107.3608,23.8222,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5385.2895311090415,0.0
2018-10-17,107.311,23.8943,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5376.147858947067,0.0
2018-10-18,107.2839,23.6901,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5390.623581216795,0.0
2018-10-19,107.2248,23.6677,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5388.401062702731,0.0
2018-10-22,107.2476,23.6195,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5393.8001126941,0.0
2018-10-23,107.3482,23.4177,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5416.753572283742,0.0
2018-10-24,107.3723,23.0094,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5451.012779342269,0.0
2018-10-25,107.344,23.2452,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5430.251143328206,0.0
2018-10-26,107.731,22.9965,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5476.3954710668795,0.0
2018-10-29,107.7283,22.8863,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5485.017121910257,0.0
2018-10-30,107.3936,23.175,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5439.22742804981,0.0
2018-10-31,107.4435,23.5311,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5414.162815426895,0.0
2018-11-01,107.4381,23.6287,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5405.997996026349,0.0
2018-11-02,107.2105,23.6046,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5392.471916346082,0.0
2018-11-05,107.259,23.6199,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5394.542093769535,0.0
2018-11-06,107.0437,23.6879,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5374.492288523732,0.0
2018-11-07,107.2319,23.9796,67.88955931359604,-79.8997518468521,107.84080346893134,23.41117276009813,5363.962345972825,0.0
